,city,cloudiness,country name,humidity,latitude,temperature,windspeed
529,ramnagar,0,IN,27,29.4,77.16,1.59
530,altay,0,CN,50,47.87,33.44,4.45
531,stromness,92,GB,100,58.97,41.47,12.75
532,barmer,74,IN,26,25.75,80.49,6.58
533,kyra,36,RU,49,49.58,33.6,15.55
534,manhattan,90,US,93,40.78,44.83,5.82
535,kursenai,75,LT,92,55.98,24.8,2.24
536,nemuro,0,JP,40,43.32,51.8,8.05
537,tias,75,ES,82,28.96,64.4,13.38
538,bintulu,75,MY,94,3.17,78.39,4.7
539,atambua,100,ID,61,-9.11,82.29,2.62
540,bayan,96,CN,29,46.08,53.01,13.0
541,bria,89,CF,49,6.54,77.95,3.24
542,shemgang,0,BT,22,27.22,66.79,3.49
543,visnes,22,NO,86,59.36,35.38,3.36
544,kichera,100,RU,89,55.94,26.64,14.2
545,flinders,75,AU,61,-34.58,77.41,8.05
546,kemijarvi,100,FI,91,66.71,16.41,10.38
547,college,1,US,27,64.86,26.08,11.41
548,katobu,90,ID,58,-4.94,90.21,0.94
549,rio gallegos,1,AR,70,-51.62,46.4,8.05
550,aklavik,75,CA,42,68.22,5.0,11.41
551,yangambi,100,CD,86,0.81,71.94,4.14
552,soe,73,ID,54,-9.86,78.94,3.29
